Year,Month,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1841,1,21.204,3.987,Albury,Australia,36.17S,147.18E
1841,2,21.529,2.823,Albury,Australia,36.17S,147.18E
1841,3,17.358,4.199,Albury,Australia,36.17S,147.18E
1841,4,12.018,1.792,Albury,Australia,36.17S,147.18E
1841,5,9.227,1.313,Albury,Australia,36.17S,147.18E
1841,6,7.034,1.353,Albury,Australia,36.17S,147.18E
1841,7,6.07,1.93,Albury,Australia,36.17S,147.18E
1841,8,7.383,1.232,Albury,Australia,36.17S,147.18E
1841,9,9.54,1.602,Albury,Australia,36.17S,147.18E
1841,10,12.658,1.429,Albury,Australia,36.17S,147.18E
1841,11,15.859,2.056,Albury,Australia,36.17S,147.18E
1841,12,18.402,1.659,Albury,Australia,36.17S,147.18E
1842,1,20.95,1.91,Albury,Australia,36.17S,147.18E
1842,2,21.325,2.122,Albury,Australia,36.17S,147.18E
1842,3,18.667,1.952,Albury,Australia,36.17S,147.18E
1842,4,12.814,2.89,Albury,Australia,36.17S,147.18E
1842,5,9.09,1.241,Albury,Australia,36.17S,147.18E
1842,6,6.439,1.305,Albury,Australia,36.17S,147.18E
1842,7,5.233,1.102,Albury,Australia,36.17S,147.18E
1842,8,6.922,1.204,Albury,Australia,36.17S,147.18E
1842,9,9.563,1.552,Albury,Australia,36.17S,147.18E
1842,10,11.454,2.083,Albury,Australia,36.17S,147.18E
1842,11,15.817,1.528,Albury,Australia,36.17S,147.18E
1842,12,19.032,2.379,Albury,Australia,36.17S,147.18E
1843,1,21.501,1.761,Albury,Australia,36.17S,147.18E
1843,2,21.882,1.693,Albury,Australia,36.17S,147.18E
1843,3,18.058,2.055,Albury,Australia,36.17S,147.18E
1843,4,12.648,2.038,Albury,Australia,36.17S,147.18E
1843,5,9.042,1.763,Albury,Australia,36.17S,147.18E
1843,6,7.199,1.744,Albury,Australia,36.17S,147.18E
1843,7,6.002,1.2,Albury,Australia,36.17S,147.18E
1843,8,7.084,1.261,Albury,Australia,36.17S,147.18E
1843,9,9.238,1.193,Albury,Australia,36.17S,147.18E
1843,10,12.568,1.392,Albury,Australia,36.17S,147.18E
1843,11,16.456,2.413,Albury,Australia,36.17S,147.18E
1843,12,19.859,2.037,Albury,Australia,36.17S,147.18E
1844,1,20.921,1.854,Albury,Australia,36.17S,147.18E
1844,2,21.127,2.595,Albury,Australia,36.17S,147.18E
1844,3,17.411,2.109,Albury,Australia,36.17S,147.18E
1844,4,11.992,2.302,Albury,Australia,36.17S,147.18E
1844,5,9.068,1.504,Albury,Australia,36.17S,147.18E
1844,6,6.522,1.223,Albury,Australia,36.17S,147.18E
1844,7,5.84,1.21,Albury,Australia,36.17S,147.18E
1844,8,6.591,1.945,Albury,Australia,36.17S,147.18E
1844,9,8.922,1.19,Albury,Australia,36.17S,147.18E
1844,10,12.193,1.498,Albury,Australia,36.17S,147.18E
1844,11,14.54,1.627,Albury,Australia,36.17S,147.18E
1844,12,17.944,1.823,Albury,Australia,36.17S,147.18E
1845,1,21.712,1.948,Albury,Australia,36.17S,147.18E
1845,2,20.214,2.938,Albury,Australia,36.17S,147.18E
1845,3,18.032,1.769,Albury,Australia,36.17S,147.18E
1845,4,13.285,1.472,Albury,Australia,36.17S,147.18E
1845,5,8.887,1.408,Albury,Australia,36.17S,147.18E
1845,6,6.562,1.337,Albury,Australia,36.17S,147.18E
